,TITLE,AUTHOR,PAGES,RATING,REVIEWERS,PLACE (COUNTRY),ORIGINAL YEAR,AWARDS,SERIES,GENRES,URL LINKS
250,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,392,3.76,460498,United States,2009,"Georgia Peach Book Award (2010), Pennsylvania Young Readers' Choice Award Nominee (2011), Children's Choice Book Award Nominee for Teen Choice Book of the Year (2010), Florida Teens Read Nominee (2010), Teen Read Award Nominee for Best Read (2010)   The Inky Awards for Silver Inky (2010), Lincoln Award Nominee (2012), The Inky Awards Shortlist for Silver Inky (2010), Missouri Gateway Readers Award Nominee (2012), Premi Protagonista Jove for Categoria 15-16 anys (2011)",1,"Young Adult, Fantasy, Romance, ",https://www.goodreads.com/book/show/6068551-shiver
251,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,291,4.13,459286,United States,2005,Puddly Award for Nonfiction (2007),0,"Nonfiction, Autobiography > MemoirAnimals",https://www.goodreads.com/book/show/12691.Marley_and_Me
252,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,969,4.41,844439,None,1998,"Nebula Award Nominee for Best Novel (1999), Locus Award for Best Fantasy Novel (1999), Premio Ignotus for Novela extranjera (2004)",1,"Fantasy, Fiction, Fantasy > Epic Fantasy, ",https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
253,The Wind-Up Bird Chronicle,Haruki Murakami,607,4.16,243834,None,1994,"Japan-U.S. Friendship Commission Prize for the Translation of Japanese Literature (1999), Yomiuri Prize Š¦ð†œý‘??†ðÝŠü? for Fiction (1995), International Dublin Literary Award Nominee for Shortlist (1999)",1,"Fiction, Magical Realism, Cultural > Japan, ",https://www.goodreads.com/book/show/11275.The_Wind_Up_Bird_Chronicle
254,Blindness,JosÇ¸ Saramago,349,4.16,237096,None,1995,None,None,"Fiction, Science Fiction > DystopiaScience Fiction",https://www.goodreads.com/book/show/40495148-blindness
255,"Howlƒ??s Moving Castle (Howlƒ??s Moving Castle, #1)",Diana Wynne Jones,329,4.27,263319,Ingary,1986,"Phoenix Award (Children's Literature Association) (2006), Boston Globe-Horn Book Award (1987)",1,"Fantasy, Young Adult, Fiction, ",https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
256,The Sound and the Fury,William Faulkner,366,3.86,167517,United States,1929,No Award,0,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/10975.The_Sound_and_the_Fury
257,Misery,Stephen King,370,4.19,576233,United States,1987,"Bram Stoker Award for Best Novel (1987), World Fantasy Award Nominee for Best Novel (1988)",0,"Horror, Fiction, Thriller, ",https://www.goodreads.com/book/show/10614.Misery
258,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,626,4.61,633814,None,2016,Goodreads Choice Award for Young Adult Fantasy & Science Fiction (2016) and Nominee for Best of the Best  (2018),1,None,https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury
259,The Shack,William Paul Young,294,3.79,586867,United States,2007,LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009),0,"Fiction, Christian, Christian Fiction, ",https://www.goodreads.com/book/show/40874325-the-shack
260,The House of the Spirits,Isabel Allende,448,4.25,218976,Chili,1982,"Deutscher HÇôrbuchpreis for Beste Fiktion (2011), Prix du Grand Roman d'Ç¸vasion (1984)",1,"Fiction, Magical Realism, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/9328.The_House_of_the_Spirits
261,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,291,4.18,677371,United Kingdom,2008,None,None,"Historical > Historical Fiction, Fiction, Historical, ",https://www.goodreads.com/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society
262,"Marked (House of Night, #1)",P.C. Cast,306,3.8,462125,United States,2007,Romantic Times Reviewers' Choice Award (RT Award) for Young Adult (2007),1,"Young Adult, Fantasy, Paranormal > Vampires, ",https://www.goodreads.com/book/show/30183.Marked
263,For Whom the Bell Tolls,Ernest Hemingway,471,3.97,266927,Spain,1940,No Award,0,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/46170.For_Whom_the_Bell_Tolls
264,Fear and Loathing in Las Vegas,Hunter S. Thompson,204,4.07,319701,United States,1971,No Award,0,None,https://www.goodreads.com/book/show/7745.Fear_and_Loathing_in_Las_Vegas
265,The Complete Calvin and Hobbes,Bill Watterson,1456,4.79,37944,None,2005,No Award,1,Sequential Art > ComicsHumorSequential Art > Graphic Novels,https://www.goodreads.com/book/show/24812.The_Complete_Calvin_and_Hobbes
266,Gone Girl,Gillian Flynn,415,4.1,2632574,United States,2012,"Barry Award Nominee for Best Novel (2013), Anthony Award Nominee for Best Novel (2013), Romantic Times Reviewers' Choice Award (RT Award) for Suspense/Thriller Novel (2012), Shirley Jackson Award Nominee for Novel (Finalist) (2012), Edgar Award Nominee for Best Novel (2013)   Puddly Award for Fiction (2013), Women's Prize for Fiction Nominee for Longlist (2013), Grand Prix des lectrices de Elle for roman policier (2013), Goodreads Choice Award for Mystery & Thriller and Nominee for Goodreads Author (2012) and Nominee for Best of the Best  (2018)",0,"Fiction, Mystery, Thriller, ",https://www.goodreads.com/book/show/19288043-gone-girl
267,Stranger in a Strange Land,Robert A. Heinlein,525,3.92,291798,None,1961,"Hugo Award for Best Novel (1962), Prometheus Hall of Fame Award (1987)",0,"Science Fiction, Fiction, Classics, ",https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land
268,Roots: The Saga of an American Family,Alex Haley,888,4.43,154474,United States,1976,"ASJA Outstanding Book Award (1978), Audie Award for Nonfiction (2008), Premio Bancarella (1978), National Book Critics Circle Award Nominee for General Nonfiction (1976), Lillian Smith Book Award (1977)",0,"Historical > Historical Fiction, Fiction, Classics",https://www.goodreads.com/book/show/546018.Roots
269,Island of the Blue Dolphins,Scott O'Dell,194,3.85,313085,United States,1960,"Newbery Medal (1961), Lewis Carroll Shelf Award (1961), Nene Award (1964), Vermont Golden Dome Book Award Nominee (1962), Deutscher Jugendliteraturpreis for Jugendbuch (1963)   William Allen White Children's Book Award (1963)",1,"Young Adult, Fiction, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/41044096-island-of-the-blue-dolphins
270,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,566,4.23,688544,Sweden,2007,"Glass Key Award (2008), Audie Award for Thriller/Suspense (2011), Goodreads Choice Award for Mystery & Thriller and Nominee for Favorite Book (2010), LovelyBooks Leserpreis for Krimi (2009)",1,"Fiction, Mystery, Thriller, ",https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest
271,Speak,Laurie Halse Anderson,224,4.03,528317,United States,1999,"SCBWI Golden Kite Award for Fiction (1999), Edgar Award Nominee for Best Young Adult (2000), Michael L. Printz Award Nominee (2000), South Carolina Book Award for Young Adult Book Award (2002), Rhode Island Teen Book Award Nominee (2001)   Vermont Golden Dome Book Award Nominee (2001), Evergreen Teen Book Award (2002), Boston Globe-Horn Book Award (2000), California Young Readers Medal Nominee for Young Adult (2003), Lincoln Award Nominee (2005), National Book Award Finalist for Young People's Literature (1999), Oklahoma Sequoyah Award for YA (2002), Margaret A. Edwards Award (2009)",0,"Young Adult, Fiction, Contemporary, ",https://www.goodreads.com/book/show/39280444-speak
272,Paper Towns,John Green,305,3.75,1122023,United States,2008,"Anthony Award Nominee for Best Children's/Young Adult Novel (2009), Edgar Award for Best Young Adult (2009), Rhode Island Teen Book Award Nominee (2010), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2011), The Inky Awards Nominee for Silver Inky (2009)   Lincoln Award Nominee (2011), Bronzener Lufti (2010), Literaturpreis der Jury der jungen Leser for Jugendbuch (2010), The Inky Awards Shortlist for Silver Inky (2009), Missouri Gateway Readers Award Nominee (2011), Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2010)",0,None,https://www.goodreads.com/book/show/6442769-paper-towns
273,Blood River: A Journey to Africa's Broken Heart,Tim Butcher,363,3.92,11551,Congo,2007,"Ryszard Kapu?ci?ski Prize Nominee (2009), Samuel Johnson Prize for Non-Fiction Nominee (2008), Stanford Dolman Travel Book of the Year Nominee (2008)",0,TravelNonfictionCultural > Africa,https://www.goodreads.com/book/show/2184798.Blood_River
274,Norwegian Wood,Haruki Murakami,296,4.03,445141,Japan,1987,No Award,0,None,https://www.goodreads.com/book/show/11297.Norwegian_Wood
275,Othello,William Shakespeare,314,3.9,345590,Italy,1603,No Award,0,"Classics, Plays, Fiction, ",https://www.goodreads.com/book/show/12996.Othello
276,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,319,4.06,610538,None,2011,Goodreads Choice Award Nominee for Young Adult Fiction and for Goodreads Author (2011),1,None,https://www.goodreads.com/book/show/11505797-beautiful-disaster
277,The Idiot,Fyodor Dostoevsky,667,4.2,150984,Russia,1869,No Award,0,None,https://www.goodreads.com/book/show/12505.The_Idiot
278,"Delirium (Delirium, #1)",Lauren Oliver,441,3.96,445728,United States,2011,"Buxtehuder Bulle (2011), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book and for Goodreads Author (2011), Missouri Gateway Readers Award Nominee (2014)",1,"Young Adult, Science Fiction > Dystopia, Romance, ",https://www.goodreads.com/book/show/11614718-delirium
279,King Lear,William Shakespeare,338,3.91,197030,None,1605,No Award,0,"Classics, Plays, Drama, ",https://www.goodreads.com/book/show/12938.King_Lear
280,White Oleander,Janet Fitch,446,3.98,336102,United States,1999,No Award,0,"Fiction, ContemporaryYoung Adult > Coming Of Age",https://www.goodreads.com/book/show/32234.White_Oleander
281,Midnight Sun [2008 Draft],Stephenie Meyer,264,4.01,150655,United States,2008,No Award,0,"Young Adult, Fantasy, Paranormal > Vampires, ",https://www.goodreads.com/book/show/4502877-midnight-sun-2008-draft
282,"Inkheart (Inkworld, #1)",Cornelia Funke,563,3.9,398965,Italy,2003,"Locus Award Nominee for Best Young Adult Book (2004), Mythopoeic Fantasy Award Nominee for Children's Literature (2004), Zilveren Griffel (2006), Grand Prix de l'Imaginaire Nominee for Roman jeunesse (2004), Nene Award (2009)   Flicker Tale Children's Book Award (2006), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004), Phantastik-Preis der Stadt Wetzlar (2004), Literaturpreis der Jury der jungen Leser for Kinderbuch (2004)",1,None,https://www.goodreads.com/book/show/28194.Inkheart
283,Into the Wild,Jon Krakauer,215,4,972290,Mexico,1996,Washington State Book Award (1997),0,"Nonfiction, Biography, Travel, ",https://www.goodreads.com/book/show/1845.Into_the_Wild
284,"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,481,4.07,186310,France,1985,"Locus Award Nominee for Best Fantasy Novel (1986), World Fantasy Award Nominee for Best Novel (1986)",1,"Horror, Fantasy, Paranormal > Vampires, ",https://www.goodreads.com/book/show/43814.The_Vampire_Lestat
285,Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,301,3.87,5448,None,2009,No Award,0,Historical > Historical FictionFictionNorthern Africa > Egypt,https://www.goodreads.com/book/show/6801755-flow-down-like-silver
286,"The Once and Future King (The Once and Future King, #1-4)",T.H. White,639,4.06,104602,United Kingdom,1958,TÇÏhtifantasia Award Nominee (2019),1,"Fantasy, Classics, Fiction, ",https://www.goodreads.com/book/show/43545.The_Once_and_Future_King
287,"Neverwhere (London Below, #1)",Neil Gaiman,370,4.17,470815,United Kingdom,1996,"Mythopoeic Fantasy Award Nominee for Adult Literature (1998), Prix Julia Verlanger (1999)",1,"Fantasy, Fiction, Fantasy > Urban Fantasy, ",https://www.goodreads.com/book/show/14497.Neverwhere
288,I Know This Much Is True,Wally Lamb,897,4.2,299225,None,1998,None,None,"Fiction, ContemporaryNovels",https://www.goodreads.com/book/show/227711.I_Know_This_Much_Is_True
289,The Complete Sherlock Holmes,Arthur Conan Doyle,1796,4.49,183206,United Kingdom,1927,Audie Award for Classic (2014),1,"Classics, Mystery, Fiction, ",https://www.goodreads.com/book/show/188572.The_Complete_Sherlock_Holmes
290,Kafka on the Shore,Haruki Murakami,467,4.14,370042,Japan,2002,"World Fantasy Award for Best Novel (2006), Los Angeles Times Book Prize Nominee for Fiction (2005), Independent Foreign Fiction Prize Nominee for Longlist (2006), PEN Translation Prize for Philip Gabriel (2006), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2005)   TÇÏhtifantasia Award (2010), ×?Ø×ñ×ý×æ×î×¨ ×?×û×ý×¯×î×¨Ø? Public for ×?×æØ?×ñØ?Ø×ñØŸ×¬×ð×«×¨ ×¬Ø?×÷×ûØŸØ?Ø?Ø×ú×¬×ñ Ø?×úØ? Ø?Ø×¨×«×û×ªØ? (Translator: ×?Ø×üØ?ØØ? ×?×ñ×«Ø?Ø?×ü×¯×¨Ø?) (2016)",0,"Fiction, Magical Realism, Fantasy, ",https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore
291,Uncle Tom's Cabin,Harriet Beecher Stowe,438,3.89,210868,United States,1852,No Award,0,"Classics, Fiction, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin
292,Paradise Lost,John Milton,453,3.82,149797,Heaven,1667,Ignatz Award Nominee for Outstanding Artist (2017),0,"Classics, Poetry, Fiction, ",https://www.goodreads.com/book/show/15997.Paradise_Lost
293,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,444,4.22,164474,Israel,2002,No Award,0,"Fiction, Humor, Historical > Historical Fiction",https://www.goodreads.com/book/show/28881.Lamb
294,Candide,Voltaire,129,3.77,243322,Germany,1759,No Award,0,"Classics, Fiction, Philosophy, ",https://www.goodreads.com/book/show/19380.Candide
295,The Things They Carried,Tim O'Brien,246,4.13,276578,None,1990,"Pulitzer Prize Nominee for Fiction (1991), Chicago Tribune Heartland Prize for Fiction (1990), Prix du Meilleur Livre Ç?tranger for Roman (1990), National Book Critics Circle Award Nominee for Fiction (1990)",0,"Fiction, Historical > Historical Fiction, Classics, ",https://www.goodreads.com/book/show/133518.The_Things_They_Carried
296,The Historian,Elizabeth Kostova,704,3.79,255314,Netherlands,2005,"International Horror Guild Award Nominee for Best Novel (2005), Hopwood Award for Novel in-progress (2003), Book Sense Book of the Year Award for Best Adult Fiction (2006), The Quill Award for Debut Author of the Year (2005), Lord Ruthven Award for Fiction (2006)",0,"Fiction, Historical > Historical Fiction, Fantasy, ",https://www.goodreads.com/book/show/30236962-the-historian
297,Invisible Man,Ralph Ellison,581,3.9,169434,United States,1952,National Book Award for Fiction (1953),0,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/16981.Invisible_Man
298,"All Creatures Great and Small (All Creatures Great and Small, #1)",James Herriot,437,4.31,131968,United Kingdom,1972,No Award,1,"Nonfiction, AnimalsAutobiography > Memoir",https://www.goodreads.com/book/show/32085.All_Creatures_Great_and_Small
299,"Foundation (Foundation, #1)",Isaac Asimov,244,4.17,467586,None,1951,No Award,1,"Science Fiction, Fiction, Classics, ",https://www.goodreads.com/book/show/29579.Foundation
300,James and the Giant Peach,Roald Dahl,146,4.02,424352,None,1961,None,None,None,https://www.goodreads.com/book/show/6689.James_and_the_Giant_Peach
301,The Complete Works,William Shakespeare,1248,4.47,52903,None,1623,No Award,0,"Classics, PoetryFiction",https://www.goodreads.com/book/show/569564.The_Complete_Works
302,Leaves of Grass,Walt Whitman,624,4.11,94292,United States,1855,No Award,1,"Poetry, Classics, Fiction",https://www.goodreads.com/book/show/27494.Leaves_of_Grass
303,The Thirteenth Tale,Diane Setterfield,406,3.97,294146,United Kingdom,2006,"Dilys Award Nominee (2007), ALA Alex Award (2007), The Quill Award for Debut Author (2007)",0,"Fiction, Mystery, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale
304,The Time Machine,H.G. Wells,118,3.9,459837,United Kingdom,1895,No Award,0,"Classics, Science Fiction, Fiction, ",https://www.goodreads.com/book/show/2493.The_Time_Machine
305,Different Seasons,Stephen King,560,4.34,188969,United States,1982,World Fantasy Award Nominee for Best Anthology/Collection (1982),0,"Horror, Fiction, Short Stories, ",https://www.goodreads.com/book/show/39662.Different_Seasons
306,Heidi,Johanna Spyri,352,4.01,184235,Switzerland,1880,No Award,1,"Classics, Fiction, Childrens, ",https://www.goodreads.com/book/show/93.Heidi
307,"Graceling (Graceling Realm, #1)",Kristin Cashore,471,4.07,424119,None,2008,"Locus Award Nominee for Best First Novel (2009), Mythopoeic Fantasy Award for Children's Literature (2009), William C. Morris YA Debut Award Nominee (2009), Rhode Island Teen Book Award (2011), Milwaukee County Teen Book Award Nominee (2010)   Sakura Medal Nominee for High School Book (2010), Florida Teens Read Nominee (2010), Amelia Elizabeth Walden Award Nominee (2009), Iowa High School Book Award Nominee (2011), California Young Readers Medal for Young Adult (2012), Lincoln Award Nominee (2011), Andre Norton Award Nominee (2008), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2008), Green Mountain Book Award (2011), Missouri Gateway Readers Award Nominee (2011), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)",1,"Fantasy, Young Adult, Romance, ",https://www.goodreads.com/book/show/3236307-graceling
308,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,535,4.24,479689,United States,2012,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012),1,"Fantasy, Young Adult, Romance, ",https://www.goodreads.com/book/show/8755776-city-of-lost-souls
309,The Cider House Rules,John Irving,973,4.14,170866,United States,1985,No Award,0,"Fiction, ClassicsHistorical > Historical Fiction",https://www.goodreads.com/book/show/4687.The_Cider_House_Rules
310,Never Let Me Go,Kazuo Ishiguro,288,3.84,556687,United Kingdom,2005,"Booker Prize Nominee (2005), Locus Award Nominee for Best SF Novel (2006), Arthur C. Clarke Award Nominee (2006), James Tait Black Memorial Prize Nominee for Fiction (2005), ALA Alex Award (2006)   National Book Critics Circle Award Nominee for Fiction (2005), Corine Internationaler Buchpreis for Belletristik (2006), International Dublin Literary Award Nominee (2007)",0,None,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go
311,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,398,4.06,2682315,United States,2010,"Locus Award Nominee for Best Young Adult Book (2011), Children's Choice Book Award Nominee for Teen Choice Book of the Year (2011), Andre Norton Award Nominee (2010), DABWAHA Romance Tournament for Best Young Adult Romance (2011), Goodreads Choice Award for Favorite Book and for Young Adult Fantasy (2010)",1,"Young Adult, Science Fiction > Dystopia, Fiction, ",https://www.goodreads.com/book/show/7260188-mockingjay
312,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,994,4.55,480413,United States,2011,"Locus Award Nominee for Best Fantasy Novel (2012), David Gemmell Legend Award for Best Fantasy Novel (2012), TÇÏhtifantasia Award Nominee (2016), Goodreads Choice Award Nominee for Best Fantasy and for Favorite Book (2011), Prix Elbakin.net for Meilleur roman fantasy traduit (2013)",1,"Fantasy, Fiction, Fantasy > Epic Fantasy",https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
313,"Are You There God? It's Me, Margaret",Judy Blume,149,3.91,200705,United States,1970,"Young Hoosier Book Award (1976), Nene Award (1975), North Dakota Children's Choice Award (1979), Golden Archer Award (1974)",0,"Young Adult, Fiction, Childrens",https://www.goodreads.com/book/show/37732.Are_You_There_God_It_s_Me_Margaret
314,The Lord of the Rings,J.R.R. Tolkien,1216,4.51,611446,Middle-earth,1955,"Hugo Award Nominee for Best All-Time Series (1966), Prometheus Hall of Fame Award (2009), International Fantasy Award for Fiction (1957), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2002), Prix du Meilleur Livre Ç?tranger for Roman (1972)   Nynorsk litteraturpris (2006)",1,"Fantasy, Classics, Fiction, ",https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
315,Sophie's World,Jostein Gaarder,403,3.95,228115,None,1991,"Buxtehuder Bulle (1996), Premio Bancarella (1995), Deutscher Jugendliteraturpreis for Jugendbuch (1994), Prix des libraires du QuÇ¸bec for LaurÇ¸ats hors QuÇ¸bec (1996), îõñ õë?ë?ë?ë?   Literaturpreis der Jury der jungen Leser for Jugendbuch (1997), Prime Minister of Pakistan's Award for Literature, Premio San Clemente RosalÇða-Abanca for Novela Estranxeira (1996)",0,"Philosophy, Fiction, Classics",https://www.goodreads.com/book/show/10959.Sophie_s_World
316,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,521,4.42,484240,United States,2011,"Buckeye Children's Book Award for 6-8 (2012), Goodreads Choice Award for Middle Grade & Children's and Nominee for Favorite Book (2011)",1,"Fantasy, Young Adult, Fantasy > Mythology, ",https://www.goodreads.com/book/show/9520360-the-son-of-neptune
317,Fangirl,Rainbow Rowell,483,4,670591,United States,2013,"Teen Buckeye Book Award (2015), Milwaukee County Teen Book Award Nominee (2015), The Inky Awards for Silver Inky (2015), Lincoln Award Nominee (2016), Goodreads Choice Award Nominee for Young Adult Fiction (2013)   Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2014)",0,"Young Adult, Contemporary, Romance, ",https://www.goodreads.com/book/show/16068905-fangirl
318,Walden,Henry David Thoreau,352,3.78,173766,United States,1854,No Award,0,"Classics, Philosophy, Nonfiction, ",https://www.goodreads.com/book/show/16902.Walden
319,"Ready Player One (Ready Player One, #1)",Ernest Cline,374,4.24,1000512,United States,2011,"Locus Award Nominee for Best First Novel (2012), John W. Campbell Memorial Award Nominee (2012), Prometheus Award for Best Novel (2012), ALA Alex Award (2012), Lincoln Award Nominee (2014)   TÇÏhtivaeltaja Award Nominee (2013), Mary Shelley Award for Outstanding Fictional Work (2016), Premi Ictineu for Millor novel¶úla traduÇîda (2017), Goodreads Choice Award Nominee for Science Fiction and for Favorite Book (2011), Green Mountain Book Award Nominee (2015), Seiun Award ‘??‚?ýŠü? Nominee for Best Translated Novel (2015)",1,"Science Fiction, Fiction, Young Adult, ",https://www.goodreads.com/book/show/9969571-ready-player-one
320,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,1007,4.63,370209,Roshar,2010,"Locus Award Nominee for Best Fantasy Novel (2011), David Gemmell Legend Award (2011), Whitney Award for Best Novel of the Year (2010), Goodreads Choice Award Nominee for Fantasy and for Favorite Book and for Goodreads Author (2010)",1,"Fantasy, Fiction, Fantasy > Epic Fantasy, ",https://www.goodreads.com/book/show/7235533-the-way-of-kings
321,The Awakening,Kate Chopin,195,3.67,184111,United States,1899,No Award,0,"Classics, Fiction, Feminism, ",https://www.goodreads.com/book/show/58345.The_Awakening
322,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,586,4.46,504966,United States,2012,"Teen Buckeye Book Award (2013), Goodreads Choice Award for Middle Grade & Children's (2012)",1,"Fantasy, Fantasy > Mythology, Young Adult, ",https://www.goodreads.com/book/show/12127750-the-mark-of-athena
323,The Song of Achilles,Madeline Miller,378,4.41,694763,Greece,2011,"Orange Prize for Fiction (2012), Gaylactic Spectrum Award for Best Novel (2013), Chautauqua Prize Nominee (2013), Lovelybooks Leserpreis Nominee for Romane (2020), Women's Prize for Fiction (2012)",0,"Historical > Historical Fiction, Fantasy, Fiction, ",https://www.goodreads.com/book/show/13623848-the-song-of-achilles
324,Sophie's Choice,William Styron,562,4.18,85950,United States,1979,"National Book Award for Fiction (Hardcover) (1980), National Book Critics Circle Award Nominee for Fiction (1979)",0,"Fiction, ClassicsHistorical > Historical Fiction",https://www.goodreads.com/book/show/228560.Sophie_s_Choice
325,Mrs. Dalloway,Virginia Woolf,194,3.79,252742,United Kingdom,1925,None,None,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/14942.Mrs_Dalloway
326,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,416,4.28,283582,United States,1987,Alabama Author Award for Fiction (1989),1,"Fiction, Historical > Historical Fiction, LGBT",https://www.goodreads.com/book/show/9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe
327,"Me Before You (Me Before You, #1)",Jojo Moyes,369,4.26,1358933,United Kingdom,2012,Goodreads Choice Award Nominee for Fiction (2013),1,"Romance, Fiction, Contemporary, ",https://www.goodreads.com/book/show/17347634-me-before-you
328,The Prince of Tides,Pat Conroy,679,4.24,200350,United States,1986,No Award,0,"Fiction, ClassicsAmerican > Southern",https://www.goodreads.com/book/show/16735.The_Prince_of_Tides
329,"Wonder (Wonder, #1)",R.J. Palacio,315,4.4,912729,United States,2012,"Josette Frank Award (2013), Texas Bluebonnet Award Nominee (2013), West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2013), South Carolina Book Award for Children's Book (2014), Vermont Golden Dome Book Award (2014)   Charlie May Simon Children's Book Award (2015), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2014), New Mexico Land of Enchantment Award for Children (2014), California Young Readers Medal for Intermediate (2015), James Cook Book Award Nominee (2013), Judy Lopez Memorial Award for Children's Literature (2013), Louisiana Young Readers' Choice for Grades 3-5 (2015), NAIBA Book of the Year for Middle Readers (2012), Waterstones Children's Book Prize for 5-12 years (2013), Washington State Sasquatch Award Nominee (2015), Bluestem Book Award (2014), Goodreads Choice Award Nominee for Middle Grade & Children's (2012), Carnegie Medal Nominee (2013), North Carolina Children's Book Award (2014), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2012), Rhode Island Childrenƒ??s Book Award (2014), FAB Award Nominee (2014), Rebecca Caudill Young Readers' Book Award (2014), Hea Lasteraamat (2014)",1,"Young Adult, Fiction, Childrens > Middle Grade, ",https://www.goodreads.com/book/show/11387515-wonder
330,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,532,3.84,813613,United States,2011,No Award,1,"Romance, Adult Fiction > Erotica, Fiction, ",https://www.goodreads.com/book/show/11857408-fifty-shades-darker
331,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,292,3.96,518040,United States,2001,"Locus Award Nominee for Best Fantasy Novel (2002), Anthony Award for Best Paperback Original (2002), Dilys Award Nominee (2002), Agatha Award Nominee for Best Novel (2001), Compton Crook Award Nominee (2002)",1,"Fantasy, Paranormal > Vampires, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/301082.Dead_Until_Dark
332,"Legend (Legend, #1)",Marie Lu,305,4.16,470554,United States,2011,"Rhode Island Teen Book Award Nominee (2013), Milwaukee County Teen Book Award Nominee (2013), The Inky Awards Nominee for Silver Inky (2012), California Young Readers Medal Nominee for Young Adult (2015), Lincoln Award Nominee (2014)   Missouri Truman Readers Award (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012), Rebecca Caudill Young Readers' Book Award (2015)",1,"Young Adult, Science Fiction > Dystopia, Science Fiction, ",https://www.goodreads.com/book/show/9275658-legend
333,Middlemarch,George Eliot,904,3.99,145971,United Kingdom,1871,No Award,0,"Classics, Fiction, Historical > Historical Fiction",https://www.goodreads.com/book/show/19089.Middlemarch
334,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,209,3.71,321816,Nigeria,1958,No Award,1,"Fiction, Classics, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/37781.Things_Fall_Apart
335,The Monster at the End of this Book,Jon Stone,32,4.44,122711,None,1971,No Award,1,"Childrens > Picture Books, Childrens, Fiction",https://www.goodreads.com/book/show/44186.The_Monster_at_the_End_of_this_Book
336,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,288,3.79,922608,United Kingdom,1996,"Audie Award for Solo Narration - Female (2000), British Book of the Year (1998)",1,"Fiction, Womens Fiction > Chick Lit, Romance, ",https://www.goodreads.com/book/show/227443.Bridget_Jones_s_Diary
